symbol,date,state,state_key,pulse,slope5,weekly,close,ret_5d,ret_10d,ret_20d,ret_60d
NVDA,2024-05-06,二次启动,second_start,66.869,59.472,多头,91.878,-0.018895032615782736,0.02865186658469132,0.2636965029915377,0.18535883671980113
NVDA,2024-06-21,趋势退潮,trend_fade,91.995,-8.005,多头,126.2205,-0.023939232972589708,0.012878225374172603,-0.023939232972589708,-0.08667229369101925
NVDA,2024-07-08,二次启动,second_start,39.821,11.662,多头,127.846,0.0018722292597332935,-0.03634934331139483,-0.2164586574386187,-0.08728540124863426
NVDA,2024-08-15,趋势启动,trend_start,1.064,77.428,多头,122.5207,0.007162570562285753,-0.04289440980870651,-0.030521066671548636,0.20171424952638817
NVDA,2024-08-16,二次启动,second_start,74.011,150.665,多头,124.236,0.03844936500920104,-0.04182043346238962,-0.06253008347284772,0.16609761642480558
NVDA,2024-09-12,趋势启动,trend_start,4.334,50.016,多头,118.8212,-0.010659665825271225,0.04112808113558586,0.1315259512442688,0.1956507613138918
NVDA,2024-09-24,二次启动,second_start,32.926,15.859,多头,120.5466,-0.032017980949449076,0.0994455920332542,0.1879703635594261,0.0665909802346516
NVDA,2024-10-22,二次启动,second_start,95.843,7.195,多头,143.2057,-0.016296309556041333,-0.025628411579976862,0.023817781552543105,-0.01915380829527047
NVDA,2024-10-30,趋势退潮,trend_fade,70.115,-22.045,多头,138.9671,0.04499795110497584,0.04973467578047974,-0.028706710230025245,-0.11218216323786023
NVDA,2024-11-07,二次启动,second_start,91.386,73.967,多头,148.4816,-0.014239908760667497,-0.014844375504771357,-0.04319049509443684,-0.13562046887587165
NVDA,2024-12-03,二次启动,second_start,32.322,20.343,多头,139.8846,-0.0369361086073936,-0.07030504242224067,-0.01383477398748334,-0.17297863458427343
NVDA,2024-12-24,趋势启动,trend_start,12.062,54.128,多头,139.8544,-0.013621627542769632,-0.030737336912844193,-0.15547005738258846,-0.13920198335104106
NVDA,2025-01-03,二次启动,second_start,64.549,52.715,多头,144.0933,-0.07780172185570722,-0.025195641354187615,-0.17872226869844232,-0.23561885146082406
NVDA,2025-01-21,二次启动,second_start,31.891,70.951,多头,140.4628,-0.08407288354514808,-0.1574948100945427,-0.011361194607060865,-0.2579732808132644
NVDA,2025-02-18,趋势启动,trend_start,11.512,22.957,多头,139.0365,-0.09160672031301498,-0.1679338561443352,-0.17187485767233757,-0.029035446735185877
NVDA,2025-04-25,趋势启动,trend_start,11.377,44.529,空头,110.7307,0.031438709632967576,0.05080634159449349,0.18268615170494096,0.5385267712575015
NVDA,2025-05-01,二次启动,second_start,31.661,61.602,过渡,111.3292,0.05160831392506027,0.20804583561909507,0.21073385715396875,0.57263842978534
NVDA,2025-05-29,二次启动,second_start,100.0,12.723,多头,138.8398,0.0057476595250822715,0.04181400873589736,0.13342168728722958,0.29192105337197205
NVDA,2025-06-03,趋势退潮,trend_fade,91.23,-7.02,多头,140.8647,0.019402468361231273,0.02060614542568051,0.1135881405312471,0.2758994214724202
NVDA,2025-06-25,二次启动,second_start,100.0,17.681,多头,153.9325,0.019052608414650063,0.06344383294409672,0.1259155323291159,0.1449677442377768
NVDA,2025-07-22,趋势退潮,trend_fade,82.376,-17.624,多头,166.6214,0.05076935277880401,0.06723336121566725,0.051547762584643,0.07669378768533708
NVDA,2025-08-08,二次启动,second_start,84.849,13.716,多头,182.2531,-0.012315248252364186,-0.025780014561120224,-0.07876291763590104,0.13241200535559883
NVDA,2025-08-27,二次启动,second_start,44.521,36.898,多头,181.1558,-0.054735827086820454,-0.024339416102661104,-0.021475841426172537,-0.005230359534995288
NVDA,2025-09-15,趋势启动,trend_start,4.545,48.44,多头,177.3252,0.032967644771418225,0.02306607021557694,0.059465637832709195,0.04067684337100985
NVDA,2025-09-22,二次启动,second_start,81.068,76.523,多头,183.1712,-0.009585561179926705,0.01051139570345816,-0.005282938079297361,-0.03202501102729394
NVDA,2025-10-10,趋势退潮,trend_fade,83.176,-6.194,多头,182.7222,0.00032751880289461077,0.016924922452282498,0.027243768938073343,0.0325426924767962
NVDA,2025-10-27,二次启动,second_start,76.495,55.092,多头,191.0323,0.0803696954230182,0.03947994707454261,-0.04668654766026903,-0.019894332798567338
NVDA,2025-12-08,趋势启动,trend_start,8.519,57.26,多头,185.1168,-0.04990571897892282,-0.010024220611324797,0.0191862454887215,-0.04165988010368771
NVDA,2025-12-22,趋势启动,trend_start,9.218,85.413,多头,183.2612,0.02095926097508416,0.029506243191206316,0.006260509813155624,-0.05977816863060781
NVDA,2025-12-30,二次启动,second_start,32.398,23.18,多头,187.1022,0.008371521316099528,-0.023461724497018333,0.026500968974783712,-0.10670221626629872
NVDA,2026-01-15,趋势启动,trend_start,1.593,9.611,多头,186.6133,0.003314583915752012,0.02181237755921117,-0.022667822632270407,0.050631522390510275
NVDA,2026-01-27,二次启动,second_start,42.459,83.236,多头,188.0799,-0.043390704724742934,0.00010603598700753558,0.037343489422849485,0.059043060508498835
NVDA,2026-02-10,二次启动,second_start,31.87,11.699,多头,188.0998,-0.0029702341410872135,0.03723350534435288,-0.013259420485132511,0.12183865564842167
NVDA,2026-04-09,趋势启动,trend_start,25.65,112.304,过渡,183.4906,0.078516603410826,0.08553085011193118,0.15001896012054639,0.07204338541268207
NVDA,2026-04-10,二次启动,second_start,34.749,72.49,过渡,188.1998,0.0691829421825958,0.10411911465863422,0.14085772309472522,0.08337954756108878
NVDA,2026-04-28,二次启动,second_start,98.726,14.575,多头,212.6839,-0.07820052288457635,0.035699237411565665,-0.00267389865256884,-0.02856372326648393
NVDA,2026-05-07,趋势退潮,trend_fade,72.624,-18.276,多头,211.0177,0.11460994208364395,0.03787232485570091,-0.02912984315712186,0.0032482590890297036
NVDA,2026-05-21,趋势退潮,trend_fade,75.015,-24.985,多头,219.0094,-0.038130356023131085,-0.06455723542116631,-0.04836605587682019,0.0022145196126246436
NVDA,2026-06-04,二次启动,second_start,57.303,27.484,多头,218.4156,-0.0630659940890389,-0.036449273565163254,-0.1056891865599513,0.009695415389806561
NVDA,2026-06-15,趋势启动,trend_start,1.994,24.738,多头,212.2125,-0.05841376500164186,-0.05817842539033269,0.00023533961130928205,0.028968415094494215
NVDA,2026-07-10,趋势启动,trend_start,12.958,77.553,多头,210.7242,-0.03863295800687361,-0.019529802342096225,0.061623073446226195,
NVDA,2026-08-04,趋势启动,trend_start,31.468,82.986,多头,211.7031,0.026233848138718097,0.0368029090017965,0.025950804282056428,
NVDA,2026-08-05,二次启动,second_start,86.084,154.098,多头,218.975,0.02221508515516679,-0.007572290328640818,0.023674870097327272,
NVDA,2026-08-18,趋势退潮,trend_fade,77.329,-9.11,多头,219.4944,-0.030445084858758742,-0.010466892623004043,-0.025487694115692405,
NVDA,2026-08-28,二次启动,second_start,52.554,31.468,多头,217.3068,0.05888302859665484,-0.029206776486700337,,
NVDA,2026-09-17,二次启动,second_start,60.936,27.888,多头,219.34,0.023889876815224698,,,
ORCL,2021-10-08,趋势启动,trend_start,50.0,100.0,数据不足,88.5444,0.00995864701918281,0.040894240438722695,0.005932950320157504,-0.058798556880661934
ORCL,2021-10-11,二次启动,second_start,55.0,105.0,数据不足,89.3887,0.012802787214965639,0.027285021664160913,-0.0015742097264891397,-0.09266465551786374
ORCL,2021-11-16,趋势启动,trend_start,28.029,37.448,数据不足,89.6889,-0.027925861994753554,-0.06129078851804459,0.08409173151606986,-0.16278344339910744
ORCL,2021-12-10,趋势启动,trend_start,59.268,136.38,数据不足,96.2741,-0.058559899325136056,-0.1275454796161929,-0.12684755492580935,-0.25574680398515237
ORCL,2021-12-13,二次启动,second_start,60.593,137.556,数据不足,94.6419,-0.09168410735823862,-0.12132014305962047,-0.11974721597872062,-0.23743935661542726
