symbol,state_key,state,horizon,n,mean,median,directional_hit_rate,baseline_mean,baseline_directional_hit_rate,mean_excess_vs_all_days,worst,best,mean_ci95_lo,mean_ci95_hi
NVDA,trend_fade,趋势退潮,10,18,0.05740210620184754,0.024681955798713573,0.2222222222222222,0.029013311252907955,0.39707317073170734,0.028388794948939585,-0.06455723542116631,0.3853836344584243,0.01672634933420434,0.10841899508646612
NVDA,trend_fade,趋势退潮,20,18,0.07405525363902604,0.03882627040517217,0.3888888888888889,0.06127433706723754,0.33399014778325126,0.012780916571788502,-0.04836605587682019,0.41699449949298484,0.01810898117280045,0.1372187538751891
NVDA,trend_fade,趋势退潮,60,17,0.23833675126299236,0.2758994214724202,0.17647058823529413,0.20976967133977908,0.2153846153846154,0.02856707992321328,-0.11218216323786023,0.9134605919169994,0.11803865000584171,0.376707862892003
ORCL,trend_start,趋势启动,5,21,0.020782501599999788,0.008761221129810037,0.5714285714285714,0.005351271309041039,0.525242718446602,0.015431230290958749,-0.09326851472047637,0.2697196552879202,-0.0073452367436751455,0.055413803575722086
ORCL,trend_start,趋势启动,10,21,0.040524787370181184,0.040894240438722695,0.7619047619047619,0.010776767717780028,0.5219512195121951,0.029748019652401154,-0.14965102216341386,0.29944928933901815,-0.0005445131062627638,0.08185514498184676
ORCL,trend_start,趋势启动,20,21,0.044521394647430115,0.05125124216326493,0.7142857142857143,0.023142001701878655,0.5625615763546798,0.02137939294555146,-0.16624968574263976,0.18330521148555778,0.0019753041979690142,0.08504266898103229
ORCL,trend_start,趋势启动,60,19,0.05126978053557809,-0.01624836403035057,0.47368421052631576,0.07201861968901607,0.6194871794871795,-0.020748839153437983,-0.25574680398515237,0.7218444342822252,-0.052190253225978006,0.16729151808208526
ORCL,second_start,二次启动,5,39,0.01855572202750377,0.02034741454779576,0.6410256410256411,0.005351271309041039,0.525242718446602,0.013204450718462732,-0.12050805115594432,0.20616872182746904,0.0007538981797721635,0.03782681613635333
ORCL,second_start,二次启动,10,39,0.027583545572504323,0.01983469630194379,0.5897435897435898,0.010776767717780028,0.5219512195121951,0.016806777854724293,-0.12132014305962047,0.26733508337227474,0.003458014097225023,0.053501742591006284
ORCL,second_start,二次启动,20,39,0.027560936378364705,0.02789264229657107,0.5641025641025641,0.023142001701878655,0.5625615763546798,0.004418934676486051,-0.20161292650493512,0.3145225347147331,-0.0071533113374946874,0.06370182307878042
ORCL,second_start,二次启动,60,37,0.034689185719114855,0.07223585756147699,0.5675675675675675,0.07201861968901607,0.6194871794871795,-0.03732943396990122,-0.346078853667919,0.666108295829015,-0.03927212387670691,0.10996848158394357
ORCL,trend_fade,趋势退潮,5,18,0.007495474310062878,-0.000675501316304894,0.5,0.005351271309041039,0.47378640776699027,0.0021442030010218396,-0.06305514907774012,0.07801068191272864,-0.009590407369259226,0.02414230073419705
ORCL,trend_fade,趋势退潮,10,18,0.025833693827919352,0.006384609344070813,0.4444444444444444,0.010776767717780028,0.47804878048780486,0.015056926110139325,-0.09310764618747569,0.3106478938604318,-0.013692136785161905,0.07324562790522815
ORCL,trend_fade,趋势退潮,20,18,0.010293561832587153,0.0013928430601244934,0.5,0.023142001701878655,0.4374384236453202,-0.012848439869291501,-0.12191707004879404,0.2906078006866719,-0.03792560753433148,0.06167691022749283
ORCL,trend_fade,趋势退潮,60,18,0.06517323475131491,0.05411598491877678,0.2777777777777778,0.07201861968901607,0.38051282051282054,-0.006845384937701163,-0.4153458194512709,0.4481904893552948,-0.019126287287417335,0.14979078083421513
